"CATALOGUE__C","CODE_PF__C","CODE_PAYS__C","MARQUE__C","MODELE__C","NAME","STANDARD__C"
"FS_PF","120EL21 CF","AT_DE","IVECO","EUROCARGO","BP-23662","01"
"FS_PF","35S14 CF - URBAN","AT_FR","IVECO","DAILY","BP-23701","01"
"FS_PF","35S14 CF - URBAN","BE_FR","IVECO","DAILY","BP-23748","04"
"FS_PF","72C18 CF","ES_ES","IVECO","DAILY","BP-23958","03"
"SE_ST","D12.210 CS","ES_ES","RENAULT","GAMME D","BP-23975","01"
"FS_PF","120EL21 CF","AT_DE","IVECO","EUROCARGO","BP-23663","02"
"FS_PF","1827 CF","BE_FR","MERCEDES","ACTROS","BP-23729","02"
"FS_PF","MRFF","ES_ES","RENAULT VL","MASTER","BP-24042","01"
"HY_ST_ELIS","TGL 12.250 CH - ELIS 7.9m","ES_ES","MAN","TGL","BP-24074","01"
"SE_ST","TCFS","ES_FR","RENAULT VL","TRAFIC","BP-24224","01"
"FS_PF","160E25 CF","AT_DE","IVECO","EUROCARGO","BP-23664","01"
"HY_ST_ELIS","MRCH - ELIS PC Plataforma interior - OPCIONES","ES_ES","RENAULT VL","MASTER","BP-24036","01"
"HY_ST_ELIS","MRCH - ELIS PC Rampa - OPCIONES","ES_ES","RENAULT VL","MASTER","BP-24038","01"
"FS_PF","NP6CF GPL","ES_ES","PIAGGIO","PORTER","BP-24051","02"
"HY_ST_ELIS","72C18 CH - ELIS","ES_FR","IVECO","DAILY","BP-24119","01"
"FS_PF","160E25 CF","AT_DE","IVECO","EUROCARGO","BP-23665","02"
"FS_PF","MRCF","ES_ES","RENAULT VL","MASTER","BP-24026","03"
"FS_PF","LF190.12 CF","FR","DAF","LF","BP-24717","02"
"FS_PF","SCP 250 DB 19 CF","FR","SCANIA","SCP","BP-24808","01"
"FS_PF","1218 CF","FR_FR","MERCEDES","ATEGO","BP-24916","03"
"FS_PF","180EL28 CF","AT_DE","IVECO","EUROCARGO","BP-23666","01"
"SE_ST_FRANCE BOISSON","LF210.16 CS - BVA - FRANCE BOISSONS","FR_FR","DAF","LF","BP-25488","H01"
